Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
CMTR2,"AFT, FLJ11171, FTSJD1, MTr2",ENSG00000180917,Cap methyltransferase 2,16,71281389-71289715,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA041700, HPA048265",Uncertain,NA,Approved,Nuclear speckles<br>Cell Junctions,Renal cancer:4.97e-5 (favourable),Expressed in all,Expressed in all,NA,NA,testis: 18.9,Expressed in all,NA,NA
COBL,KIAA0633,ENSG00000106078,Cordon-bleu WH2 repeat protein,7,51016212-51316818,Predicted intracellular proteins,Evidence at protein level,"HPA019033, HPA019167",Enhanced,NA,Approved,Plasma membrane<br>Cell Junctions,Renal cancer:5.21e-12 (favourable),Mixed,Mixed,NA,NA,parathyroid gland: 61.9,Cell line enhanced,NA,BEWO: 31.3;HeLa: 39.5;RPMI-8226: 32.2
COBLL1,KIAA0977,ENSG00000082438,Cordon-bleu WH2 repeat protein like 1,2,164653624-164843679,Predicted intracellular proteins,Evidence at protein level,"HPA044933, HPA053344",Enhanced,NA,Approved,Cell Junctions,Renal cancer:5.27e-13 (favourable),Expressed in all,Mixed,NA,NA,placenta: 77.1,Mixed,NA,NA
COLEC12,"CL-P1, SCARA4, SRCL",ENSG00000158270,Collectin subfamily member 12,18,316740-500722,Predicted membrane proteins,Evidence at protein level,"HPA047917, HPA071056",Enhanced,NA,Approved,Golgi apparatus<br>Vesicles<br>Cell Junctions,Thyroid cancer:8.10e-4 (unfavourable),Expressed in all,Tissue enhanced,NA,placenta: 28.2,lung: 16.7,Cell line enhanced,NA,ASC TERT1: 16.8;BJ: 10.3;HSkMC: 14.5;U-2197: 29.2
COLQ,EAD,ENSG00000206561,Collagen like tail subunit of asymmetric acetylcholinesterase,3,15450133-15521751,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA045876,NA,NA,Approved,Plasma membrane<br>Cell Junctions,NA,Mixed,Tissue enhanced,NA,parathyroid gland: 19.4,fallopian tube: 17.6,Cell line enhanced,NA,BEWO: 13.9;HDLM-2: 4.5;U-937: 5.9
CRB3,MGC17303,ENSG00000130545,"Crumbs 3, cell polarity complex component",19,6463777-6467221,Predicted membrane proteins,Evidence at protein level,HPA013835,Enhanced,NA,Supported,Cell Junctions,"Renal cancer:0.00e+0 (favourable), Urothelial cancer:8.06e-5 (favourable), Endometrial cancer:4.54e-4 (favourable)",Mixed,Mixed,NA,NA,duodenum: 37.4,Cell line enhanced,NA,A-431: 50.4;BEWO: 34.1;CACO-2: 31.7;HaCaT: 32.6
CTNNA1,CAP102,ENSG00000044115,Catenin alpha 1,5,138610967-138935034,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB021089, HPA046119, HPA063535",Approved,NA,Enhanced,Plasma membrane<br>Cell Junctions,"Renal cancer:7.34e-7 (favourable), Pancreatic cancer:8.02e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 217.1,Mixed,NA,NA
CTNNBIP1,"ICAT, MGC15093",ENSG00000178585,Catenin beta interacting protein 1,1,9848276-9910336,Predicted intracellular proteins,Evidence at protein level,HPA042617,NA,NA,Approved,Plasma membrane<br>Cell Junctions<br>Mitochondria,Endometrial cancer:5.68e-6 (favourable),Expressed in all,Expressed in all,NA,NA,skin: 289.6,Expressed in all,NA,NA
CTNND2,"GT24, NPRAP",ENSG00000169862,Catenin delta 2,5,10971840-11904043,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA015077, CAB037339",Enhanced,NA,Approved,Nucleoplasm<br>Golgi apparatus<br>Cell Junctions,NA,Tissue enriched,Tissue enriched,18,cerebral cortex: 103.2,spleen: 5.6,Cell line enhanced,NA,AF22: 19.5;MCF7: 7.1;SK-BR-3: 4.4;U-266/84: 12.6
CTXN1,FLJ25968,ENSG00000178531,Cortexin 1,19,7924485-7926166,Predicted membrane proteins,Evidence at transcript level,HPA016669,Uncertain,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cell Junctions,NA,Expressed in all,Tissue enhanced,NA,cerebral cortex: 100.4,endometrium: 22.7,Cell line enhanced,NA,AN3-CA: 86.1;NTERA-2: 70.2;SCLC-21H: 63.8;SH-SY5Y: 96.5
CXADR,CAR,ENSG00000154639,Coxsackie virus and adenovirus receptor,21,17512382-17593579,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA003342, CAB005103, HPA030411, HPA030412",Enhanced,NA,Enhanced,Plasma membrane<br>Cell Junctions,Head and neck cancer:3.50e-4 (favourable),Expressed in all,Mixed,NA,NA,skin: 59.1,Cell line enhanced,NA,CACO-2: 77.2;NTERA-2: 105.2;RT4: 82.7
CYP20A1,CYP-M,ENSG00000119004,Cytochrome P450 family 20 subfamily A member 1,2,203238940-203305611,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA055872, HPA058461",Uncertain,NA,Approved,Plasma membrane<br>Cell Junctions<br>Actin filaments,NA,Expressed in all,Mixed,NA,NA,thyroid gland: 16.4,Mixed,NA,NA
DCAF13,"DKFZP564O0463, Gm83, HSPC064, WDSOF1",ENSG00000164934,DDB1 and CUL4 associated factor 13,8,103414714-103443453,Predicted intracellular proteins,Evidence at protein level,HPA044504,Uncertain,NA,Supported,Nucleus<br>Nucleoli<br>Cell Junctions<br>Centrosome<br>Cytosol,"Liver cancer:8.05e-6 (unfavourable), Renal cancer:2.85e-4 (unfavourable), Breast cancer:4.06e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 58.8,Expressed in all,NA,NA
DCP2,NUDT20,ENSG00000172795,Decapping mRNA 2,5,112976702-113020970,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB011677, HPA057676",Approved,NA,Approved,Nucleoplasm<br>Cell Junctions<br>Cytoplasmic bodies,"Renal cancer:2.66e-5 (unfavourable), Liver cancer:4.84e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,placenta: 18.9,Expressed in all,NA,NA
DDB2,"DDBB, FLJ34321, UV-DDB2, XPE",ENSG00000134574,Damage specific DNA binding protein 2,11,47214465-47239240,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB025912, HPA058406",Enhanced,NA,Supported,Nucleoplasm<br>Cell Junctions,"Endometrial cancer:1.20e-4 (favourable), Cervical cancer:1.58e-4 (favourable), Breast cancer:7.29e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,skin: 53.7,Expressed in all,NA,NA
DDR1,"CAK, CD167, EDDR1, NEP, NTRK4, PTK3A, RTK6",ENSG00000204580,Discoidin domain receptor tyrosine kinase 1,6,30876421-30900156,"CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB010162, CAB025656, HPA057194",Approved,NA,Approved,Nucleoplasm<br>Cell Junctions,Renal cancer:3.31e-10 (favourable),Expressed in all,Mixed,NA,NA,cerebral cortex: 51.6,Cell line enhanced,NA,HaCaT: 80.3;RT4: 74.6;T-47d: 96.8
DHRS7B,"CGI-93, DKFZp566O084, MGC8916, SDR32C1",ENSG00000109016,Dehydrogenase/reductase 7B,17,21123364-21193265,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA012132, HPA016873",Uncertain,NA,Approved,Plasma membrane<br>Cell Junctions<br>Cytosol,"Endometrial cancer:1.98e-8 (favourable), Renal cancer:3.95e-5 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 51.2,Expressed in all,NA,NA
DLG5,"KIAA0583, P-dlg",ENSG00000151208,Discs large MAGUK scaffold protein 5,10,77790791-77926526,Predicted intracellular proteins,Evidence at protein level,HPA001746,NA,NA,Supported,Cell Junctions,Liver cancer:5.38e-4 (unfavourable),Expressed in all,Mixed,NA,NA,parathyroid gland: 33.8,Mixed,NA,NA
DLX1,NA,ENSG00000144355,Distal-less homeobox 1,2,172084740-172089677,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA035666, HPA045884",Approved,NA,Approved,Nucleus<br>Vesicles<br>Cell Junctions,NA,Tissue enhanced,Tissue enhanced,NA,adrenal gland: 1.6;cerebral cortex: 5.0,prostate: 0.8,Cell line enhanced,NA,AN3-CA: 103.9
DNAJC18,MGC29463,ENSG00000170464,DnaJ heat shock protein family (Hsp40) member C18,5,139408588-139444491,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA036538, HPA060154",Approved,NA,Supported,Cell Junctions,Pancreatic cancer:5.89e-4 (favourable),Mixed,Group enriched,5,cerebral cortex: 30.2;testis: 115.6,ovary: 13.8,Mixed,NA,NA
DOC2A,NA,ENSG00000149927,Double C2 domain alpha,16,30005509-30023270,Predicted intracellular proteins,Evidence at protein level,HPA065676,NA,NA,Uncertain,Nucleus<br>Nucleoli<br>Cell Junctions,NA,Tissue enhanced,Group enriched,9,cerebral cortex: 69.7;testis: 21.0,ovary: 5.2,Cell line enhanced,NA,BEWO: 12.9;SCLC-21H: 42.7;U-937: 14.1
DONSON,"B17, C21orf60, C2TA, DKFZP434M035",ENSG00000159147,Downstream neighbor of SON,21,33559542-33588708,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA039558, HPA049033",Uncertain,NA,Approved,Nucleoplasm<br>Cell Junctions<br>Cytosol,"Renal cancer:0.00e+0 (unfavourable), Ovarian cancer:2.17e-4 (favourable), Liver cancer:8.22e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,testis: 40.3,parathyroid gland: 15.4,Expressed in all,NA,NA
DPEP1,NA,ENSG00000015413,Dipeptidase 1 (renal),16,89613308-89638456,"Enzymes, FDA approved drug targets, Predicted secreted proteins",Evidence at protein level,"HPA009426, HPA012783",Enhanced,NA,Approved,Nucleus<br>Cell Junctions,Renal cancer:6.84e-4 (favourable),Tissue enriched,Tissue enhanced,NA,kidney: 262.6;small intestine: 418.9,pancreas: 92.8,Cell line enhanced,NA,Hep G2: 22.4;HHSteC: 11.8;U-937: 36.5
DPH1,"DPH2L, DPH2L1, OVCA1",ENSG00000108963,Diphthamide biosynthesis 1,17,2030110-2043430,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA069750,NA,NA,Approved,Nucleoplasm<br>Cell Junctions,Pancreatic cancer:1.78e-5 (favourable),Expressed in all,Expressed in all,NA,NA,fallopian tube: 31.5,Expressed in all,NA,NA
DSC3,"CDHF3, DSC, DSC1, DSC2, DSC4",ENSG00000134762,Desmocollin 3,18,30990008-31042815,"Disease related genes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB037328, HPA049265, HPA073937",Enhanced,NA,Enhanced,Plasma membrane<br>Cell Junctions,Urothelial cancer:1.04e-5 (unfavourable),Tissue enhanced,Group enriched,12,esophagus: 119.1;skin: 454.8,tonsil: 24.8,Cell line enhanced,NA,HaCaT: 242.4;hTCEpi: 115.0;hTERT-HME1: 89.5
DSG2,CDHF5,ENSG00000046604,Desmoglein 2,18,31498043-31549008,"Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA004896, CAB025122",Enhanced,NA,Enhanced,Plasma membrane<br>Cell Junctions,"Renal cancer:3.14e-10 (favourable), Pancreatic cancer:4.94e-5 (unfavourable), Lung cancer:2.43e-4 (unfavourable), Head and neck cancer:5.63e-4 (unfavourable), Colorectal cancer:7.81e-4 (favourable), Cervical cancer:8.22e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,parathyroid gland: 251.3,rectum: 106.9,Cell line enhanced,NA,HaCaT: 233.0;hTERT-HME1: 159.3
DSP,"DPI, DPII, KPPS2, PPKS2",ENSG00000096696,Desmoplakin,6,7541575-7586717,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB037324, HPA045840, HPA054950",Enhanced,NA,Enhanced,Cell Junctions,"Renal cancer:1.53e-9 (favourable), Urothelial cancer:1.82e-4 (unfavourable)",Tissue enhanced,Group enriched,8,esophagus: 345.7;skin: 1016.4,placenta: 89.1,Cell line enhanced,NA,BEWO: 263.2;HaCaT: 265.1;hTCEpi: 482.9
DTNA,"D18S892E, DRP3, DTN, DTN-1, DTN-2, DTN-3",ENSG00000134769,Dystrobrevin alpha,18,34493290-34891844,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB015196, HPA071177",Enhanced,NA,Approved,Nucleoplasm<br>Cell Junctions<br>Intermediate filaments,Renal cancer:2.64e-7 (favourable),Tissue enriched,Tissue enhanced,NA,cerebral cortex: 197.2,heart muscle: 101.8,Cell line enhanced,NA,NTERA-2: 42.7;SCLC-21H: 70.5;U-87 MG: 59.2
EDA2R,"EDA-A2R, EDAA2R, TNFRSF27, XEDAR",ENSG00000131080,Ectodysplasin A2 receptor,X,66595637-66639298,Predicted membrane proteins,Evidence at protein level,HPA054522,NA,NA,Approved,Cell Junctions,NA,Mixed,Mixed,NA,NA,thyroid gland: 9.5,Cell line enhanced,NA,HSkMC: 24.5;LHCN-M2: 26.7
EFCAB11,C14orf143,ENSG00000140025,EF-hand calcium binding domain 11,14,89794669-89954777,Predicted intracellular proteins,Evidence at transcript level,HPA051209,NA,NA,Approved,Cell Junctions<br>Cytosol,NA,Expressed in all,Tissue enhanced,NA,testis: 60.1,fallopian tube: 17.2,Expressed in all,NA,NA
ELFN1,PPP1R28,ENSG00000225968,Extracellular leucine rich repeat and fibronectin type III domain containing 1,7,1688119-1747954,Predicted membrane proteins,Evidence at protein level,HPA066382,NA,NA,Approved,Nucleoplasm<br>Cell Junctions,Liver cancer:9.68e-4 (favourable),Mixed,Tissue enhanced,NA,cerebral cortex: 3.5;liver: 3.7,endometrium: 1.7,Cell line enhanced,NA,REH: 28.4;U-138 MG: 18.3;U-2 OS: 28.4;U-2197: 29.8
ELMO3,"CED-12, CED12, ELMO-3, FLJ13824",ENSG00000102890,Engulfment and cell motility 3,16,67199111-67204029,Predicted intracellular proteins,Evidence at protein level,HPA021484,Approved,NA,Approved,Plasma membrane<br>Cell Junctions,Renal cancer:2.77e-5 (favourable),Expressed in all,Mixed,NA,NA,skin: 39.3,Cell line enhanced,NA,BEWO: 31.7;CAPAN-2: 43.1;HaCaT: 41.1;T-47d: 42.8
ELOC,"SIII, TCEB1",ENSG00000154582,Elongin C,8,73939169-73972287,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA078113,NA,NA,Approved,Cell Junctions,Breast cancer:6.48e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,testis: 162.4,Expressed in all,NA,NA
EMC4,"FLJ90746, MGC24415, PIG17, TMEM85",ENSG00000128463,ER membrane protein complex subunit 4,15,34224999-34230156,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA026868, HPA053440",Approved,NA,Approved,Cell Junctions<br>Focal adhesion sites,NA,Expressed in all,Expressed in all,NA,NA,epididymis: 122.1,Expressed in all,NA,NA
EPB41,"4.1R, EL1",ENSG00000159023,Erythrocyte membrane protein band 4.1,1,28887091-29120046,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA028076, HPA028412, HPA028414",Supported,NA,Supported,Plasma membrane<br>Cell Junctions<br>Cytosol,"Renal cancer:1.75e-6 (unfavourable), Endometrial cancer:4.58e-4 (unfavourable), Head and neck cancer:5.87e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,lymph node: 50.6,Mixed,NA,NA
EPB41L2,4.1-G,ENSG00000079819,Erythrocyte membrane protein band 4.1 like 2,6,130839347-131063322,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA005730, HPA006642",Supported,NA,Enhanced,Nucleus<br>Plasma membrane<br>Cell Junctions,"Liver cancer:2.41e-5 (unfavourable), Ovarian cancer:2.16e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 137.3,Mixed,NA,NA
EPHA2,ECK,ENSG00000142627,EPH receptor A2,1,16124337-16156087,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, RAS pathway related proteins",Evidence at protein level,CAB010464,NA,NA,Supported,Nuclear speckles<br>Golgi apparatus<br>Plasma membrane<br>Cell Junctions,NA,Expressed in all,Tissue enhanced,NA,esophagus: 86.8,gallbladder: 44.5,Cell line enhanced,NA,PC-3: 211.2;WM-115: 253.0
F11R,"CD321, JAM-1, JAM-A, JAM1, JAMA, JCAM, PAM-1",ENSG00000158769,F11 receptor,1,160995211-161021348,"CD markers, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB004671, HPA043616, HPA061700",Enhanced,NA,Supported,Cell Junctions<br>Microtubules,NA,Expressed in all,Expressed in all,NA,NA,lung: 95.0,Cell line enhanced,NA,HaCaT: 179.6
FAAP20,"C1orf86, FLJ31031",ENSG00000162585,Fanconi anemia core complex associated protein 20,1,2184461-2212720,Predicted intracellular proteins,Evidence at protein level,HPA038829,Uncertain,NA,Supported,Nucleoplasm<br>Nuclear bodies<br>Cell Junctions,"Pancreatic cancer:2.88e-4 (favourable), Liver cancer:4.57e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,adipose tissue: 13.0,Expressed in all,NA,NA
FAM126B,"HYCC2, MGC39518",ENSG00000155744,Family with sequence similarity 126 member B,2,200973718-201071671,Predicted intracellular proteins,Evidence at protein level,"HPA036166, HPA036167, HPA067307",Uncertain,NA,Supported,Nucleus<br>Cell Junctions,NA,Expressed in all,Mixed,NA,NA,cerebral cortex: 14.7,Expressed in all,NA,NA
FAM13A,"ARHGAP48, FAM13A1, KIAA0914",ENSG00000138640,Family with sequence similarity 13 member A,4,88725955-89111398,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA038108, HPA038109",Uncertain,NA,Approved,Nucleoli<br>Cell Junctions<br>Cytosol,Urothelial cancer:4.28e-4 (favourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 114.4,Cell line enhanced,NA,ASC diff: 38.0
FBLIM1,"CAL, FBLP-1, migfilin",ENSG00000162458,Filamin binding LIM protein 1,1,15756607-15786594,Predicted intracellular proteins,Evidence at protein level,"HPA025287, HPA072750",Approved,NA,Enhanced,Nucleoli fibrillar center<br>Cell Junctions<br>Focal adhesion sites,"Cervical cancer:4.07e-4 (unfavourable), Melanoma:6.15e-4 (unfavourable), Renal cancer:8.64e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,gallbladder: 101.8,Cell line enhanced,NA,HUVEC TERT2: 210.1;TIME: 323.6
FBLN7,"FLJ37440, TM14",ENSG00000144152,Fibulin 7,2,112138385-112188216,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA034992,NA,NA,Approved,Plasma membrane<br>Cell Junctions,NA,Mixed,Mixed,NA,NA,parathyroid gland: 18.7,Cell line enhanced,NA,AF22: 24.3;BJ hTERT+: 14.4;SCLC-21H: 18.6;SH-SY5Y: 13.4;U-2197: 23.6
FIBCD1,FLJ14810,ENSG00000130720,Fibrinogen C domain containing 1,9,130902438-130939286,Predicted intracellular proteins,Evidence at protein level,"HPA053898, HPA055353",Uncertain,NA,Supported,Cell Junctions,NA,Mixed,Tissue enhanced,NA,adrenal gland: 4.7;parathyroid gland: 8.6;testis: 5.3,cerebral cortex: 2.5,Cell line enhanced,NA,MCF7: 25.2;RPTEC TERT1: 18.5;U-2 OS: 17.4;U-251 MG: 11.7
FIGN,NA,ENSG00000182263,"Fidgetin, microtubule severing factor",2,163593396-163736012,Predicted intracellular proteins,Evidence at protein level,"HPA034987, HPA057919",Approved,NA,Approved,Nucleoplasm<br>Vesicles<br>Plasma membrane<br>Cell Junctions<br>Cytosol,NA,Mixed,Mixed,NA,NA,ovary: 5.1,Cell line enhanced,NA,AF22: 18.3
FLRT3,NA,ENSG00000125848,Fibronectin leucine rich transmembrane protein 3,20,14322988-14337616,"Disease related genes, Predicted membrane proteins",Evidence at protein level,"CAB026166, HPA056033",Enhanced,NA,Supported,Plasma membrane<br>Cell Junctions<br>Cytosol,"Renal cancer:1.49e-7 (favourable), Lung cancer:9.85e-5 (unfavourable), Pancreatic cancer:1.54e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,lung: 32.3,Cell line enhanced,NA,AF22: 32.9;hTCEpi: 45.3;WM-115: 75.5
FLT4,"PCL, VEGFR3",ENSG00000037280,Fms related tyrosine kinase 4,5,180601506-180649624,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,"CAB000099, HPA046519, HPA067906",Approved,NA,Enhanced,Nuclear speckles<br>Plasma membrane<br>Cell Junctions,NA,Expressed in all,Mixed,NA,NA,spleen: 18.3,Cell line enhanced,NA,BEWO: 11.8;HEK93: 14.1;T-47d: 13.7;TIME: 12.7
FLVCR1,"AXPC1, FLVCR, MFSD7B, PCA",ENSG00000162769,Feline leukemia virus subgroup C cellular receptor 1,1,212858255-212899363,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA046646,Approved,NA,Approved,Cell Junctions,"Renal cancer:1.06e-5 (unfavourable), Liver cancer:2.52e-5 (unfavourable), Pancreatic cancer:3.50e-4 (favourable)",Expressed in all,Tissue enhanced,NA,small intestine: 21.4,duodenum: 9.8,Expressed in all,NA,NA
